HE-Ranstadt,50.4017,8.9522
HE-Altenstadt,50.2800,8.9283
HE-Glauburg,50.3072,9.0211
HE-Bad-Orb,50.2275,9.3517
HE-Bad-Soden-Salm,50.2786,9.3722
HE-Maintal,50.1525,8.8253
HE-Bruchkoebel,50.1722,8.9181
HE-Schoeneck,50.1828,8.8722
HE-Niederdorfelden,50.1869,8.7872
HE-Nidderau,50.2497,8.8592
HE-Erlensee,50.1844,8.9728
HE-Steinau,50.3489,9.4592
HE-Waechtersbach,50.2592,9.2925
HE-Birstein,50.3406,9.3072
HE-Schluechtern,50.3494,9.5236
HE-Sinntal,50.3633,9.6700
HE-Linsengericht,50.1736,9.2417
HE-Biebergemuend,50.1839,9.3414
HE-Lauterbach,50.6394,9.3953
HE-Alsfeld,50.7522,9.2658
HE-Schotten,50.5083,9.1267
HE-Schlitz,50.6736,9.5594
HE-Romrod,50.7186,9.2058
HE-Muecke,50.6469,9.0356
HE-Grebenhain,50.4983,9.3489
HE-Herbstein,50.5575,9.3539
HE-Ulrichstein,50.5731,9.1817
HE-Homberg-Ohm,50.7256,9.0153
HE-Stadtallendorf,50.8225,9.0144
HE-Coelbe,50.8514,8.7825
HE-Wetter-Hess,50.8989,8.7244
HE-Kirchhain,50.8244,8.9342
HE-Amoeneburg,50.7983,8.9233
HE-Gladenbach,50.7700,8.5828
HE-Dautphetal,50.8467,8.5250
HE-Lahntal,50.8606,8.6847
HE-Ebsdorfergrund,50.7556,8.7944
HE-Muenchhausen,50.9447,8.6922
HE-Rauschenberg,50.8800,8.9119
HE-Herborn,50.6814,8.3017
HE-Asslar,50.5947,8.4631
HE-Haiger,50.7406,8.2086
HE-Huettenberg,50.5292,8.5611
HE-Solms,50.5378,8.4039
HE-Braunfels,50.5147,8.3892
HE-Leun,50.5447,8.3622
HE-Ehringshausen,50.5961,8.3911
HE-Sinn,50.6669,8.3236
HE-Aartal,50.6442,8.0533
HE-Weilburg,50.4844,8.2622
HE-Bad-Camberg,50.3000,8.2664
HE-Hadamar,50.4444,8.0386
HE-Runkel,50.4083,8.1597
HE-Beselich,50.4519,8.1639
HE-Selters-Ts,50.4203,8.2319
HE-Mengerskirchen,50.5611,8.1719
HE-Loehnberg,50.5253,8.2647
HE-Lich,50.5258,8.8197
HE-Pohlheim,50.5414,8.7178
HE-Linden,50.5333,8.6833
HE-Buseck,50.6056,8.7508
HE-Reiskirchen,50.5953,8.8267
HE-Allendorf-Lumda,50.6722,8.7917
HE-Hungen,50.4839,8.9089
HE-Heuchelheim,50.5783,8.6361
HE-Wettenberg,50.6083,8.6056
HE-Staufenberg-Hess,50.6519,8.7372
HE-Biebertal,50.6383,8.6017
HE-Langgoens,50.4967,8.6664
HE-Laubach,50.5447,8.9947
HE-Gruenberg,50.5947,8.9572
HE-Rotenburg-Fulda,50.9986,9.7297
HE-Bebra,50.9697,9.7969
HE-Niederaula,50.8061,9.6072
HE-Heringen-Werra,50.8917,9.9889
HE-Philippsthal,50.8503,10.0467
HE-Friedewald-Hess,50.8800,9.8636
HE-Ludwigsau,50.9100,9.7361
HE-Schenklengsfeld,50.8228,9.8300
HE-Bad-Sooden-Allen,51.2786,10.0244
HE-Hess-Lichtenau,51.1939,9.7286
HE-Wanfried,51.1819,10.1764
HE-Sontra,51.0644,10.0017
HE-Wehretal,51.1622,10.0408
HE-Berkatal,51.2511,9.9292
HE-Wolfhagen,51.3267,9.1700
HE-Vellmar,51.3653,9.4806
HE-Ahnatal,51.3603,9.3939
HE-Baunatal,51.2533,9.4072
HE-Lohfelden,51.2792,9.5450
HE-Niestetal,51.3186,9.5478
HE-Fuldatal,51.3947,9.5294
HE-Calden,51.3961,9.4131
HE-Espenau,51.3833,9.4500
HE-Kaufungen,51.2872,9.6097
HE-Soehrewald,51.2417,9.6325
HE-Helsa,51.2522,9.6792
HE-Trendelburg,51.5928,9.4194
HE-Immenhausen,51.4283,9.4847
HE-Grebenstein,51.4503,9.4133
HE-Homberg-Efze,51.0339,9.4067
HE-Borken-Hess,51.0461,9.2861
HE-Felsberg,51.1342,9.4267
HE-Fritzlar,51.1325,9.2733
HE-Gudensberg,51.1769,9.3697
HE-Melsungen,51.1300,9.5483
HE-Neukirchen-Knull,50.8703,9.3408
HE-Niedenstein,51.2128,9.3014
HE-Wabern,51.1058,9.3633
HE-Spangenberg,51.1311,9.6622
HE-Frankenberg-Eder,51.0617,8.7997
HE-Bad-Arolsen,51.3789,9.0144
